country,year,liters,value
Africa do Sul,1970,0,0
Alemanha,1970,52297,30498
Argélia,1970,0,0
Arábia Saudita,1970,0,0
Argentina,1970,19525,12260
Armênia,1970,0,0
Austrália,1970,0,0
Áustria,1970,1328,707
Bermudas,1970,0,0
Bélgica,1970,0,0
Bolívia,1970,0,0
Bósnia-Herzegovina,1970,0,0
Brasil,1970,0,0
Bulgária,1970,0,0
Canada,1970,0,0
Chile,1970,162370,101819
China,1970,0,0
"Coreia do Sul, República",1970,0,0
Croácia,1970,0,0
Emirados Árabes Unidos,1970,0,0
Eslovênia,1970,0,0
Eslováquia,1970,0,0
Espanha,1970,261126,90159
Estados Unidos,1970,0,0
França,1970,91544,78135
Geórgia,1970,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1970,0,0
Grécia,1970,0,0
Hong Kong,1970,0,0
Hungria,1970,0,0
Indonesia,1970,0,0
Irlanda,1970,0,0
Israel,1970,0,0
Itália,1970,58802,32376
Japão,1970,0,0
Iugoslavia,1970,702,326
Líbano,1970,0,0
Luxemburgo,1970,0,0
Macedônia,1970,0,0
Marrocos,1970,0,0
México,1970,0,0
Moldávia,1970,0,0
Montenegro,1970,0,0
Noruega,1970,0,0
Nova Zelândia,1970,0,0
Paises Baixos (Holanda),1970,0,0
Panamá,1970,0,0
Peru,1970,0,0
Porto Rico,1970,0,0
Portugal,1970,785609,531480
Reino Unido,1970,0,0
Republica Dominicana,1970,0,0
Romênia,1970,0,0
Rússia,1970,0,0
San Marino,1970,0,0
Sérvia,1970,0,0
Síria,1970,0,0
Suíça,1970,0,0
"Tcheca, República",1970,0,0
Tunísia,1970,0,0
Turquia,1970,0,0
Ucrânia,1970,0,0
Uruguai,1970,5767,1871
Não consta na tabela,1970,0,0
Não declarados,1970,0,0
Outros,1970,5508,4255
Africa do Sul,1971,0,0
Alemanha,1971,34606,26027
Argélia,1971,0,0
Arábia Saudita,1971,0,0
Argentina,1971,24942,15022
Armênia,1971,0,0
Austrália,1971,0,0
Áustria,1971,0,0
Bermudas,1971,0,0
Bélgica,1971,0,0
Bolívia,1971,0,0
Bósnia-Herzegovina,1971,0,0
Brasil,1971,0,0
Bulgária,1971,0,0
Canada,1971,0,0
Chile,1971,74406,52240
China,1971,0,0
"Coreia do Sul, República",1971,0,0
Croácia,1971,0,0
Emirados Árabes Unidos,1971,0,0
Eslovênia,1971,0,0
Eslováquia,1971,0,0
Espanha,1971,140507,50191
Estados Unidos,1971,915,190
França,1971,88714,72978
Geórgia,1971,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1971,0,0
Grécia,1971,0,0
Hong Kong,1971,0,0
Hungria,1971,0,0
Indonesia,1971,0,0
Irlanda,1971,0,0
Israel,1971,0,0
Itália,1971,108409,56377
Japão,1971,0,0
Iugoslavia,1971,640,375
Líbano,1971,0,0
Luxemburgo,1971,0,0
Macedônia,1971,0,0
Marrocos,1971,0,0
México,1971,0,0
Moldávia,1971,0,0
Montenegro,1971,0,0
Noruega,1971,0,0
Nova Zelândia,1971,0,0
Paises Baixos (Holanda),1971,0,0
Panamá,1971,0,0
Peru,1971,0,0
Porto Rico,1971,0,0
Portugal,1971,897310,620790
Reino Unido,1971,0,0
Republica Dominicana,1971,0,0
Romênia,1971,0,0
Rússia,1971,0,0
San Marino,1971,0,0
Sérvia,1971,0,0
Síria,1971,0,0
Suíça,1971,0,0
"Tcheca, República",1971,0,0
Tunísia,1971,0,0
Turquia,1971,0,0
Ucrânia,1971,0,0
Uruguai,1971,1917,636
Não consta na tabela,1971,0,0
Não declarados,1971,0,0
Outros,1971,77789,42028
Africa do Sul,1972,0,0
Alemanha,1972,134438,92103
Argélia,1972,0,0
Arábia Saudita,1972,0,0
Argentina,1972,104906,58137
Armênia,1972,0,0
Austrália,1972,0,0
Áustria,1972,353,520
Bermudas,1972,0,0
Bélgica,1972,0,0
Bolívia,1972,0,0
Bósnia-Herzegovina,1972,0,0
Brasil,1972,0,0
Bulgária,1972,0,0
Canada,1972,0,0
Chile,1972,161736,95654
China,1972,0,0
"Coreia do Sul, República",1972,0,0
Croácia,1972,0,0
Emirados Árabes Unidos,1972,0,0
Eslovênia,1972,0,0
Eslováquia,1972,0,0
Espanha,1972,300582,116710
Estados Unidos,1972,2156,1337
França,1972,176688,173001
Geórgia,1972,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1972,0,0
Grécia,1972,0,0
Hong Kong,1972,0,0
Hungria,1972,0,0
Indonesia,1972,0,0
Irlanda,1972,0,0
Israel,1972,0,0
Itália,1972,142196,96943
Japão,1972,0,0
Iugoslavia,1972,1824,1137
Líbano,1972,0,0
Luxemburgo,1972,0,0
Macedônia,1972,0,0
Marrocos,1972,0,0
México,1972,0,0
Moldávia,1972,0,0
Montenegro,1972,0,0
Noruega,1972,0,0
Nova Zelândia,1972,0,0
Paises Baixos (Holanda),1972,0,0
Panamá,1972,0,0
Peru,1972,0,0
Porto Rico,1972,0,0
Portugal,1972,1650727,1226232
Reino Unido,1972,0,0
Republica Dominicana,1972,0,0
Romênia,1972,0,0
Rússia,1972,0,0
San Marino,1972,0,0
Sérvia,1972,0,0
Síria,1972,0,0
Suíça,1972,0,0
"Tcheca, República",1972,0,0
Tunísia,1972,0,0
Turquia,1972,0,0
Ucrânia,1972,0,0
Uruguai,1972,7394,2741
Não consta na tabela,1972,0,0
Não declarados,1972,0,0
Outros,1972,79052,25032
Africa do Sul,1973,0,0
Alemanha,1973,111523,98638
Argélia,1973,0,0
Arábia Saudita,1973,0,0
Argentina,1973,116887,76121
Armênia,1973,0,0
Austrália,1973,0,0
Áustria,1973,2310,2081
Bermudas,1973,0,0
Bélgica,1973,0,0
Bolívia,1973,0,0
Bósnia-Herzegovina,1973,0,0
Brasil,1973,0,0
Bulgária,1973,0,0
Canada,1973,0,0
Chile,1973,301559,212140
China,1973,0,0
"Coreia do Sul, República",1973,0,0
Croácia,1973,0,0
Emirados Árabes Unidos,1973,0,0
Eslovênia,1973,0,0
Eslováquia,1973,0,0
Espanha,1973,226805,117135
Estados Unidos,1973,0,0
França,1973,259060,435641
Geórgia,1973,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1973,0,0
Grécia,1973,0,0
Hong Kong,1973,0,0
Hungria,1973,0,0
Indonesia,1973,0,0
Irlanda,1973,0,0
Israel,1973,0,0
Itália,1973,258754,186334
Japão,1973,0,0
Iugoslavia,1973,1251,813
Líbano,1973,0,0
Luxemburgo,1973,0,0
Macedônia,1973,0,0
Marrocos,1973,0,0
México,1973,0,0
Moldávia,1973,0,0
Montenegro,1973,0,0
Noruega,1973,0,0
Nova Zelândia,1973,0,0
Paises Baixos (Holanda),1973,0,0
Panamá,1973,0,0
Peru,1973,0,0
Porto Rico,1973,0,0
Portugal,1973,2818320,2238637
Reino Unido,1973,0,0
Republica Dominicana,1973,0,0
Romênia,1973,0,0
Rússia,1973,0,0
San Marino,1973,0,0
Sérvia,1973,0,0
Síria,1973,0,0
Suíça,1973,0,0
"Tcheca, República",1973,0,0
Tunísia,1973,0,0
Turquia,1973,0,0
Ucrânia,1973,0,0
Uruguai,1973,0,0
Não consta na tabela,1973,0,0
Não declarados,1973,0,0
Outros,1973,4306,5775
Africa do Sul,1974,0,0
Alemanha,1974,219173,202502
Argélia,1974,0,0
Arábia Saudita,1974,0,0
Argentina,1974,215930,167473
Armênia,1974,0,0
Austrália,1974,0,0
Áustria,1974,5301,7394
Bermudas,1974,0,0
Bélgica,1974,0,0
Bolívia,1974,0,0
Bósnia-Herzegovina,1974,0,0
Brasil,1974,0,0
Bulgária,1974,0,0
Canada,1974,0,0
Chile,1974,550691,429885
China,1974,0,0
"Coreia do Sul, República",1974,0,0
Croácia,1974,0,0
Emirados Árabes Unidos,1974,0,0
Eslovênia,1974,0,0
Eslováquia,1974,0,0
Espanha,1974,362577,215208
Estados Unidos,1974,0,0
França,1974,316584,465175
Geórgia,1974,0,0
